d,n,deg,lambda1,T
200,100,0.3,0.4,20
200,400,0.3,0.4,20
200,1000,0.3,0.4,20
200,100,1.0,0.4,20
200,400,1.0,0.4,20
200,1000,1.0,0.4,20
200,100,2.0,0.4,20
200,400,2.0,0.4,20
200,1000,2.0,0.4,20
200,100,0.3,0.1,20
200,400,0.3,0.1,20
200,1000,0.3,0.1,20
200,100,1.0,0.1,20
200,400,1.0,0.1,20
200,1000,1.0,0.1,20
200,100,2.0,0.1,20
200,400,2.0,0.1,20
200,1000,2.0,0.1,20
