gtype,d,rho_ref,rho,noisel
ER,500,1e-2,5e-4,0.1
ER,500,1e-2,5e-4,0.2
ER,500,1e-2,5e-4,0.3
ER,500,1e-2,5e-4,0.4
ER,500,1e-2,5e-4,0.5

