gtype,d,rho_ref,rho,noisel
ER,100,1e-3,1e-4,0.0  
ER,200,1e-3,1e-4,0.0  
ER,400,1e-3,1e-4,0.0  
ER,800,1e-3,1e-4,0.0  
ER,1000,1e-3,1e-4,0.0  
ER,1200,1e-3,1e-4,0.0  
ER,1400,1e-3,1e-4,0.0  
ER,2000,1e-3,1e-4,0.0  

